Stock Name,Transaction Type,Amount,Politician,Transaction Date,Filing Date
"AMD


                        ADVANCED MICRO DEVICES, INC.
                      

                        ST",Sale,"$1,001 - $15,000","Josh Gottheimer
                    

                      House / D","Jan. 07, 2024","Dec. 20, 2023"
"AMD


                        ADVANCED MICRO DEVICES, INC.
                      

                        ST",Sale,"$1,001 - $15,000","John Curtis
                    

                      House / R","Dec. 15, 2023","Dec. 04, 2023"
"AMD


                        ADVANCED MICRO DEVICES, INC.
                      

                        ST",Sale,"$1,001 - $15,000","HON. GREG STANTON
                    

                      House / D","Nov. 09, 2023","Oct. 24, 2023"
"AMD


                        Advanced Micro Devices, Inc. - Common Stock
                      

                        Stock",Purchase,"$1,001 - $15,000","Mullin, Markwayne
                    

                      Senate / R","Nov. 01, 2023","Oct. 03, 2023"
"AMD


                        ADVANCED MICRO DEVICES, INC.
                      

                        ST",Purchase,"$1,001 - $15,000","HON. GREG STANTON
                    

                      House / D","Nov. 09, 2023","Sep. 26, 2023"
"AMD


                        Advanced Micro Devices, Inc. - Common Stock
                      

                        Stock",Purchase,"$15,001 - $50,000","Mullin, Markwayne
                    

                      Senate / R","Oct. 12, 2023","Sep. 13, 2023"
"AMD


                        ADVANCED MICRO DEVICES, INC.
                      

                        ST",Purchase,"$1,001 - $15,000","Michael C. Burgess
                    

                      House / R","Sep. 06, 2023","Aug. 09, 2023"
"AMD


                        ADVANCED MICRO DEVICES, INC.
                      

                        ST",Purchase,"$1,001 - $15,000","Josh Gottheimer
                    

                      House / D","Aug. 21, 2023","Jul. 24, 2023"
"AMD


                        ADVANCED MICRO DEVICES, INC.
                      

                        ST",Sale,"$1,001 - $15,000","Josh Gottheimer
                    

                      House / D","Jul. 11, 2023","Jun. 22, 2023"
"AMD


                        ADVANCED MICRO DEVICES, INC.
                      

                        ST",Sale,"$1,001 - $15,000","John Curtis
                    

                      House / R","Aug. 07, 2023","Jun. 21, 2023"
"AMD


                        ADVANCED MICRO DEVICES, INC.
                      

                        ST",Sale,"$1,001 - $15,000","Josh Gottheimer
                    

                      House / D","Jun. 11, 2023","May. 01, 2023"
"AMD


                        ADVANCED MICRO DEVICES, INC.
                      

                        ST",Purchase,"$1,001 - $15,000","Josh Gottheimer
                    

                      House / D","May. 19, 2023","Apr. 28, 2023"
"AMD


                        ADVANCED MICRO DEVICES, INC.
                      

                        ST",Sale,"$1,001 - $15,000","Josh Gottheimer
                    

                      House / D","Mar. 17, 2023","Feb. 23, 2023"
"AMD


                        ADVANCED MICRO DEVICES, INC.
                      

                        ST",Sale,"$1,001 - $15,000","Josh Gottheimer
                    

                      House / D","Mar. 17, 2023","Feb. 17, 2023"
"AMD


                        ADVANCED MICRO DEVICES, INC.
                      

                        ST",Purchase,"$1,001 - $15,000","Josh Gottheimer
                    

                      House / D","Mar. 17, 2023","Feb. 13, 2023"
"AMD


                        ADVANCED MICRO DEVICES, INC.
                      

                        ST",Purchase,"$1,001 - $15,000","John Curtis
                    

                      House / R","Jan. 10, 2023","Dec. 20, 2022"
"AMD


                        ADVANCED MICRO DEVICES, INC.
                      

                        ST",Purchase,"$15,001 - $50,000","Thomas Suozzi
                    

                      House / D","May. 20, 2022","Mar. 04, 2022"
"AMD


                        ADVANCED MICRO DEVICES, INC.
                      

                        ST",Purchase,"$1,001 - $15,000","Marjorie Taylor Greene
                    

                      House / R","Mar. 07, 2022","Feb. 22, 2022"
"AMD


                        ADVANCED MICRO DEVICES, INC.
                      

                        ST",Exchange,"$1,001 - $15,000","Christopher L. Jacobs
                    

                      House / R","Mar. 18, 2022","Feb. 15, 2022"
"AMD


                        ADVANCED MICRO DEVICES, INC.
                      

                        ST",Sale,"$1,001 - $15,000","Josh Gottheimer
                    

                      House / D","Feb. 18, 2022","Jan. 31, 2022"
"AMD


                        ADVANCED MICRO DEVICES, INC.
                      

                        ST",Sale,"$1,001 - $15,000","Josh Gottheimer
                    

                      House / D","Feb. 18, 2022","Jan. 26, 2022"
